group_id_text	group_name	group_type	group_keyword	group_members	group_description
biblical_analysis_group	Biblical Analysis Group	Public	 MedHelp General 	9	Forum is Closed for good... finally... read your bible folks, the stuff I told you is no lie but I guess it is hard to believe being there are only closet Christians on this site.. but every now and then you will run into someone like me who cares enough to take the ridicule and persecution, but the games - no, I don't have to deal with that so thats my reason for leaving,,, so someday every single one of you will find out what I told you is true but for many it will be too late.. No one is promised tomorrow. What if you don't wake up tomorrow, do you know where you will spend eternity? Are you sure? I'm sure and you can be too. Think of the things I told you and continue to seek God. Time is VERY short.
bipolar_teens	Bipolar teens	Public	 Mental/Emotional Health 	14	Just a group for teens and young adults who suffer from bipolar depression or other mental illness but who need a means of support.
biology__neurobiology__general_health_and_nutrition	Biology, Neurobiology, General Health and Nutrition	Public	 General Health 	20	Have you ever wondered how your body works? How drugs affect your brain and physiology? The influences of genetic, beliefs and perception of the environment? How we are changing our brain because of plasticity? Hormones and there mechanisms of action? Amino acids and proteins? Medicinal herbs? This is the place to post.I'm studying Biology, Biochemistry and Neurobiology and i am inviting any passionate people on the subjects on anyone who have questions regarding those topics or nutrition, natural remedies/supplements, vitamins, exercise and it's impact on life etc.
body_dysmorphic_disorder	Body Dysmorphic Disorder	Public	 Mental/Emotional Health 	4	This is a type of anxiety disorder. I suffer from it. If anyone else does or has any advice please leave a message. This is a group for sharing info and support. :)
breasts	Breasts	Public	 Women's Health 	22	Although much attention is given to a woman's uterus, and to breast cancer; little if any emphasis is placed on Breast Health in general.It is estimated that nine out of ten women have benign (non-cancerous) breast conditions. This section addresses common non-cancerous breast issues, such as breast pain, fibrocystic breasts, nipple discharge, and a variety of other benign conditions. Other breast health issues such as breast duct imaging, lymph nodes, etc. are also discussed. In addition we will discuss the effects of alcohol, diet, hysterectomy, and hormonal changes on a woman's breasts.
bargain_weekend_breaks__short_breaks_uk_	Bargain Weekend Breaks, Short Breaks UK 	Public	 Healthy Living 	1	Brilliant Trips provides UK short breaks donât have to be boring, and weekend breaks abroad donât have to be expensive. And also some winning breaks offering exciting activities, great evening entertainment and amazing value for money.
back_exercises	Back Exercises	Public	 Diabetes 	1	Back Exercises
bipolar_and_social_anxiety_and_other_mental_disorders	bipolar and social anxiety and other mental disorders	Public	 Mental/Emotional Health 	31	Time to heal come chat and make friends lets help each other understand how our minds work, i have been studieing psychology for 10 months now and have learnt to understand how my brain works andd who i am and to be honest its helped me alot and i would like to help everyone who has the same problem i do or any other illness.xxxxxx
boy_problems	Boy Problems	Public	 Mental/Emotional Health 	5	This is a place to ask and give advice on boys...... please no hurting comments...even if you are a boy yourself and you want some answers,here dont be  not afraid to get them answered...we all can work together to understand the male population!
blighted_ovvum	blighted ovvum	Public	 Pregnancy 	1	to all you ladies out there that have suffered a loss through a blighted ovvum to share your worries and your experiences.
bible_study_group	bible study group	Public	 Women's Health 	46	coming to gether to share things and learn things about the bible.                                   ( god's word)
bipolarnomore	bipolar no more	Public	 Mental/Emotional Health 	5	REMEMBER THIS IN YOUR HEART ALWAYS:Today I CHOOSE to remember that I have a chemical imbalance. Today I CHOOSE to remember some things are out of my control. I CHOOSE to remember that I am not defined by my disorder.Today is a NEW day. I CHOOSE to change the things that I can. I CHOOSE to change the things that are difficult. Pain will no longer stand in my way. I love my life, I love my family, and I CHOOSE to love me!
boundaries	Boundaries	Public	 Addiction 	1	This group is about how to deal with people, who has nothing but sex on there minds, and speaks of nothing but sexual comments.
bipolar_ll__disorder	Bipolar ll  disorder	Public	 Mental/Emotional Health 	11	BIPOLAR
behaviour_problems_in_4_yr_old_girls	behaviour problems in 4 yr old girls	Public	 Children's Health 	2	hi i have a 4 yr old little girl who has me at the end of the rd i jus dont know wat to do with her anymore, she goes from a lovely little girl to bad tempered in 0.01seconds, anything can trigger her off, shes started punching her siblings, spittin and blowing raspberrys when u tell her not to do something, i have tried naughty step, time out, no sweets, no treats, taken away toys, and even ignoring her but i cannot ignore her hittin her siblings as one is only 1yrs old, please help me!!!!!!!!!!!!
wiccian	Black cats and cauldrons	Public	 MedHelp General 	6	for those of you into the weird stuff that's a bit alternative rituals and folklore. practicing the craft and unexplained experiences yes this forum is for you.
behcet_s_disease___neuro_behcets_	Behcet's Disease & Neuro behcets 	Public	 Autoimmune 	3	Hi I am recently diagnosed with NBD and thought i would start this user group for people like me and also people at the start of trying to get some answers to their questions pre- diagnoses.I felt the hardest thing for me over the years of limbo was knowing I had this and people thinking I was mad, So my first pearl of wisdom is   seek the best neurologist you can afford and no matter where they are in the World go and see them as this will save you thousands and will also cut out all the crap one is faced with seeing under qualified people. Normal people say "I just don't know when asked a question" Some Doctors are so arrogant they can not say this basic sentence it is beyond them. So it is easier to accuse the client of been insane even doe the medical evidence says otherwise. So class lesson number one you know you, don't let anyone try and convince you otherwise, My illness started with itchy hands and then progressed to mild mathematical disfunction, visual disturbance, and then after 2 years muscle twitching, tremor and   weakness this is not all the time but most days.I also get mouth sores and yes the unmentionables get the lesions as well, I have been tested for stiffer-less and VD more times than any porn star. So lets get this rolling i am open to your questions !
